K(120) : 100.0, 0.0 -> 100.0, 0.0*10.579074126921345
K(441) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.735656912807302
K(442) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.64789929932757
K(443) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.628689884863487
K(444) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.639515378232762
K(445) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.616268670975128
K(446) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.708997961346956
K(447) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.774306161771708
K(448) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.785171415512684
K(449) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.673293233038557
K(450) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.623765233932648
K(451) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.555366332344299
K(452) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.500116639100792
K(453) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.507098032726242
K(454) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.464817549109295
K(455) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.518834097420006
K(456) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.44877603981925
K(457) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.5187345702352
K(458) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.499005612045007
K(459) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.560227017285364
K(460) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.515342565132165
K(461) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.414686680171087
K(462) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.314718750883062
K(463) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.308871967868782
K(464) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.306961203451205
K(465) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.374503076829571
K(466) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.32156377815366
K(467) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.38808916127514
K(468) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.288968249380407
K(469) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.262423989705256
K(470) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.245859540126844
K(471) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.248551269333408
K(472) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.202182477650489
K(473) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.257516843552544
K(474) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.293347525878827
K(475) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.282472280866855
K(476) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.285530103380818
K(477) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.245521512029772
K(478) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.205625494138605
K(479) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.241397241986935
K(480) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.250129903492349
K(481) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.34256792545633
K(482) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.471734571461736
K(483) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.572881578609547
K(484) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.559257575777828
K(485) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.395291341668804
K(486) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.348767923275371
K(487) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.33898931105286
K(488) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.272135729696544
K(489) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.307175416536785
K(490) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.397509009012602
K(491) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.420271884499444
K(492) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.31899856948857
K(493) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.303202189099
K(494) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.426549056887506
K(495) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.440207886579511
K(496) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.44645375939562
K(497) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.482762368645417
K(498) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.527738514905973
K(499) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.599059690378095
K(500) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.589087338713574
K(501) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.715176159518165
K(502) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.847290765327813
K(503) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.84958175363639
K(504) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.931737512965833
K(505) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.88314249083491
K(506) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.852905447132354
K(507) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.860874863537749
K(508) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.870477150541157
K(509) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.844073325079204
K(510) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.77969665318216
K(511) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.868549475165366
K(512) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.987632797413028
K(513) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.994468898445998
K(514) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.065711233405434
K(515) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.136128491788732
K(516) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.104122256025558
K(517) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.854739400670974
K(518) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.852330412596926
K(519) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.873193575199656
K(520) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.043637867325703
K(521) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.058139048061436
K(522) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.092686549825876
K(523) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.164511208442976
K(524) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.165567641037786
K(525) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.069877050701269
K(526) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.148896197491174
K(527) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.19931606187447
K(528) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.18763648678173
K(529) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.140552863429122
K(530) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.077119974196348
K(531) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.05422224638393
K(532) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.09314620193679
K(533) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.16446422540633
K(534) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.018595709852955
K(535) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.981050709475003
K(536) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.927068567854345
K(537) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.901601003355733
K(538) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.959679825049168
K(539) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.006515637747654
K(540) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.034205571321497
K(541) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.954301563679227
K(542) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.932589069430781
K(543) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.926969801975712
K(544) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.024509832415157
K(545) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.970836006216913
K(546) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.965274024036631
K(547) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.928277465595519
K(548) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.812357855286916
K(549) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.81694723738245
K(550) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.870611818176275
K(551) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.972316001390826
K(552) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.906254060327642
K(553) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.928561295281128
K(554) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.976472552670202
K(555) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.944459100653091
K(556) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.927494108167153
K(557) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.953145685176278
K(558) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.883767826958135
K(559) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.853082747327768
K(560) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.837090511220772
K(561) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.912697450148336
K(562) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.89265099589322
K(563) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.859738011425176
K(564) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.755130205547655
K(565) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.803782374265344
K(566) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.845267524380223
K(567) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.873146412593425
K(568) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.978217223712985
K(569) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.949987498153565
K(570) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.879835437669556
K(571) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.884589379727103
K(572) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.901582042102463
K(573) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.91710028625823
K(574) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.886757210606326
K(575) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.885698590834965
K(576) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.900163752182868
K(577) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.902950829600888
K(578) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.019772468812075
K(579) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.97264440252096
K(580) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.980180171629945
K(581) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.123618233936615
K(582) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.049681493031684
K(583) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.001674924057852
K(584) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.14596631282548
K(585) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.037472646586838
K(586) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.102242313772912
K(587) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.139739343697983
K(588) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.164630951423351
K(589) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.062763349436901
K(590) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.137137364230092
K(591) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*15.062908303440018
K(592) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.995330819540447
K(593) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.964049449102225
K(594) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.934911666577541
K(595) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.901393867692672
K(596) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.88443017192128
K(597) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.841281724559288
K(598) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.925504133411895
K(599) : 100.550854827258, 0.0 -> 100.550854827258, 0.0*14.954599888010414
K(120) : 100.0, 0.0 -> 100.0, 0.0*15.370060005586515
B(121) : 100.0, 0.0 -> 50.795056517607605, 3.190705453559714*15.421336816752184
S(122) : 50.795056517607605, 3.190705453559714 -> 78.28802792777222, 1.4129790399941835*15.465243245738138
B(123) : 78.28802792777222, 1.4129790399941835 -> 47.150208005219824, 3.4290706798149353*15.44464512799667
S(124) : 47.150208005219824, 3.4290706798149353 -> 76.81793583694048, 1.5100956159217036*15.460194553821108
S(125) : 76.81793583694048, 1.5100956159217036 -> 90.12969900283267, 0.6511988560716941*15.498676660762863
S(126) : 90.12969900283267, 0.6511988560716941 -> 96.28252616575362, 0.2532624075552075*15.461833631623312
B(127) : 96.28252616575362, 0.2532624075552075 -> 54.93611699701817, 2.9304670707731826*15.443873132596991
B(128) : 54.93611699701817, 2.9304670707731826 -> 30.260106594960988, 4.5291860920462605*15.434863833925863
S(129) : 30.260106594960988, 4.5291860920462605 -> 68.22388918800594, 2.079270730028592*15.495956791658
S(130) : 68.22388918800594, 2.079270730028592 -> 87.82419693688747, 0.8148824024491401*15.501810101651614
S(131) : 87.82419693688747, 0.8148824024491401 -> 95.56527120003142, 0.31411416783671997*15.458397174763503
S(132) : 95.56527120003142, 0.31411416783671997 -> 98.33256857996962, 0.1360763071343408*15.543308423393189
S(133) : 98.33256857996962, 0.1360763071343408 -> 99.72975358992971, 0.046244476497817086*15.553340058418389
S(134) : 99.72975358992971, 0.046244476497817086 -> 100.21447525276834, 0.015205735891928529*15.61666657140917
S(135) : 100.21447525276834, 0.015205735891928529 -> 100.38982042814527, 0.003941040510053596*15.565904752210535
S(136) : 100.38982042814527, 0.003941040510053596 -> 100.43190315322018, 0.0012414136097367561*15.588348549186708
S(137) : 100.43190315322018, 0.0012414136097367561 -> 100.44566046930416, 0.00036040508776641084*15.615417718340005
S(138) : 100.44566046930416, 0.00036040508776641084 -> 100.4498306048625, 9.390511489884297e-05*15.647789804524518
S(139) : 100.4498306048625, 9.390511489884297e-05 -> 100.45096933223424, 2.1124855111694273e-05*15.64610204843257
S(140) : 100.45096933223424, 2.1124855111694273e-05 -> 100.45122563948696, 4.791441483735612e-06*15.692203636731731
S(141) : 100.45122563948696, 4.791441483735612e-06 -> 100.45128748925103, 8.438892011207867e-07*15.667877112771258
S(142) : 100.45128748925103, 8.438892011207867e-07 -> 100.4512980692499, 1.712019537204759e-07*15.727961126681361
S(143) : 100.4512980692499, 1.712019537204759e-07 -> 100.45130038314812, 2.342163991748168e-08*15.65768918344511
S(144) : 100.45130038314812, 2.342163991748168e-08 -> 100.4513006712978, 5.013980591510432e-09*15.653792626703826
S(145) : 100.4513006712978, 5.013980591510432e-09 -> 100.45130073292516, 1.0948486251945316e-09*15.724746265807475
S(146) : 100.45130073292516, 1.0948486251945316e-09 -> 100.45130074768389, 1.5365323280987515e-10*15.680835193597977
S(147) : 100.45130074768389, 1.5365323280987515e-10 -> 100.4513007496319, 2.898275999547561e-11*15.625253744709507
S(148) : 100.4513007496319, 2.898275999547561e-11 -> 100.45130074997444, 7.238129465533379e-12*15.752461744373791
S(149) : 100.45130074997444, 7.238129465533379e-12 -> 100.45130075007567, 7.952344126331774e-13*15.713682620561292
S(150) : 100.45130075007567, 7.952344126331774e-13 -> 100.45130075008626, 1.2127884292995918e-13*15.717993870099672
S(151) : 100.45130075008626, 1.2127884292995918e-13 -> 100.45130075008788, 1.7920961648355133e-14*15.703673076001374
S(152) : 100.45130075008788, 1.7920961648355133e-14 -> 100.45130075008812, 2.9303110118265277e-15*15.736534214531888
S(153) : 100.45130075008812, 2.9303110118265277e-15 -> 100.45130075008817, 3.732645747994929e-16*15.719618877721434
S(154) : 100.45130075008817, 3.732645747994929e-16 -> 100.45130075008817, 5.4489093697246346e-17*15.71748097338907
S(155) : 100.45130075008817, 5.4489093697246346e-17 -> 100.45130075008817, 8.082397302331308e-18*15.705975233296146
S(156) : 100.45130075008817, 8.082397302331308e-18 -> 100.45130075008817, 1.3011180960386464e-18*15.702253891580852
S(157) : 100.45130075008817, 1.3011180960386464e-18 -> 100.45130075008817, 2.1478013301091242e-19*15.667361819699334
S(158) : 100.45130075008817, 2.1478013301091242e-19 -> 100.45130075008817, 4.369468571026207e-20*15.656248288359084
S(159) : 100.45130075008817, 4.369468571026207e-20 -> 100.45130075008817, 9.42315399833852e-21*15.613773117495935
S(160) : 100.45130075008817, 9.42315399833852e-21 -> 100.45130075008817, 2.472283913548695e-21*15.703492434307194
S(161) : 100.45130075008817, 2.472283913548695e-21 -> 100.45130075008817, 4.047417282761896e-22*15.702801957360366
S(162) : 100.45130075008817, 4.047417282761896e-22 -> 100.45130075008817, 6.65682302372245e-23*15.657957287211666
S(163) : 100.45130075008817, 6.65682302372245e-23 -> 100.45130075008817, 1.4230950159514027e-23*15.674808936560847
S(164) : 100.45130075008817, 1.4230950159514027e-23 -> 100.45130075008817, 2.7786023028303552e-24*15.694480888666353
S(165) : 100.45130075008817, 2.7786023028303552e-24 -> 100.45130075008817, 4.824218442154131e-25*15.74244091786012
S(166) : 100.45130075008817, 4.824218442154131e-25 -> 100.45130075008817, 5.831795411810953e-26*15.842131135824484
S(167) : 100.45130075008817, 5.831795411810953e-26 -> 100.45130075008817, 6.573180342644919e-28*15.809221501775717
S(168) : 100.45130075008817, 6.573180342644919e-28 -> 100.45130075008817, 3.119441921673211e-29*15.707884716229113
S(169) : 100.45130075008817, 3.119441921673211e-29 -> 100.45130075008817, 4.956235767641156e-30*15.734930551707924
S(170) : 100.45130075008817, 4.956235767641156e-30 -> 100.45130075008817, 6.400673266721115e-31*15.737142192107669
S(171) : 100.45130075008817, 6.400673266721115e-31 -> 100.45130075008817, 8.110422971058502e-32*15.734411971518332
S(172) : 100.45130075008817, 8.110422971058502e-32 -> 100.45130075008817, 1.0520357878092497e-32*15.725079253337226
S(173) : 100.45130075008817, 1.0520357878092497e-32 -> 100.45130075008817, 1.4725960493744446e-33*15.800246023271832
S(174) : 100.45130075008817, 1.4725960493744446e-33 -> 100.45130075008817, 8.441821519759938e-35*15.86987255285202
S(175) : 100.45130075008817, 8.441821519759938e-35 -> 100.45130075008817, 0.0*15.895143833020061
K(176) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*15.90661383689578
K(177) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.039409082505397
K(178) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.05427591575989
K(179) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.06017400477849
K(180) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.040828333831534
K(181) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.016642677998178
K(182) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.041457407899028
K(183) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.147115046840174
K(184) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.141235970210303
K(185) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.143244630489125
K(186) : 100.45130075008817, 0.0 -> 100.45130075008817, 0.0*16.147207356841257
